COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,5:30:00,obsr22459,S5727770,300,,161.8743,21,1
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,5:50:00,obsr171915,S7723906,310,,129.4994,10,1
Black Swift,Cypseloides niger,8,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,4:30:00,obsr124466,S5003726,330,4.828,,19,1
Black Swift,Cypseloides niger,6,United States,US,Washington,US-WA,King,US-WA-033,9,L735640,H,47.4253,-121.431284,6/11/09,17:20:00,obsr167641,S5078112,30,,,1,0
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/09,5:30:00,obsr22459,S5727773,300,,161.8743,12,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/09,5:30:00,obsr22459,S5727777,300,,161.8743,8,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/09,4:30:00,obsr124466,S5155909,315,3.219,,8,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L760954,H,47.6121811,-121.986866,7/7/09,7:05:00,obsr196219,S5534017,280,3.782,,5,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L756920,P,47.1411904,-121.460638,7/17/09,8:00:00,obsr146271,S5175667,540,16.093,,12,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L760954,H,47.6121811,-121.986866,7/7/09,7:05:00,obsr13850,S5198445,280,3.782,,5,1
Black Swift,Cypseloides niger,6,United States,US,Washington,US-WA,King,US-WA-033,9,L774961,P,47.7319345,-121.1297607,8/21/09,8:00:00,obsr128178,S5297007,15,,,3,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L869418,H,47.7272726,-121.145618,8/16/09,9:30:00,obsr209531,S6115958,420,8.047,,9,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L869418,H,47.7272726,-121.145618,8/16/09,9:30:00,obsr204514,S10683113,420,8.047,,9,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L1588098,P,47.3908071,-121.5261045,8/8/09,,obsr97255,S25333873,,,,2,1
Black Swift,Cypseloides niger,8,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,5/29/10,16:00:00,obsr169860,S6476231,90,1.609,,2,1
Black Swift,Cypseloides niger,20,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/27/10,6:15:00,obsr107483,S6469380,240,4.828,,1,1
Black Swift,Cypseloides niger,14,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/10,14:50:00,obsr205538,S6472694,60,1.609,,1,1
Black Swift,Cypseloides niger,14,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/27/10,5:30:00,obsr146271,S6470299,240,,72.8434,14,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,5/21/10,13:00:00,obsr287392,S13961030,,,,1,0
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/27/10,5:30:00,obsr22459,S15951232,360,,161.8743,20,1
Black Swift,Cypseloides niger,16,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/20/10,5:00:00,obsr22459,S15951233,330,,161.8743,14,1
Black Swift,Cypseloides niger,16,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/20/10,4:30:00,obsr124466,S6440115,360,4.828,,14,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/20/10,5:30:00,obsr146271,S6440013,300,,72.8434,12,1
Black Swift,Cypseloides niger,7,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/3/10,4:00:00,obsr124466,S6493797,345,4.828,,14,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L302242,P,47.658543,-122.1317053,6/19/10,9:30:00,obsr97255,S6617786,150,,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,6/3/10,12:15:00,obsr161775,S6506784,60,1.609,,,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/3/10,5:30:00,obsr97255,S6495925,120,,20.2343,13,1
Black Swift,Cypseloides niger,20,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/10/10,6:00:00,obsr171915,S7526780,240,,113.312,16,1
Black Swift,Cypseloides niger,35,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/3/10,5:30:00,obsr22459,S15951231,360,,161.8743,16,1
Black Swift,Cypseloides niger,X,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/20/10,,obsr22459,S15951226,,,,1,1
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/17/10,5:00:00,obsr22459,S15951228,360,,161.8743,7,1
Black Swift,Cypseloides niger,15,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/10/10,5:00:00,obsr22459,S15951230,330,,161.8743,14,1
