COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L819811,P,47.5669131,-122.4108696,1/17/09,13:30:00,obsr97255,S5715549,120,8.047,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L636203,P,47.5746294,-122.4185836,1/19/09,,obsr100831,S4475769,,,,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/19/09,10:15:00,obsr141514,S4476920,60,1.207,1,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L618857,P,47.5758309,-122.3921585,1/31/09,8:30:00,obsr146271,S4516662,240,8.047,12,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/25/09,12:30:00,obsr58984,S4514754,10,,1,1,
Harlequin Duck,Histrionicus histrionicus,,X,United States,US,Washington,US-WA,King,US-WA-033,L2416295,H,47.5952692,-122.3865366,1/19/09,,obsr299758,S21654333,,,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L788288,P,47.5892626,-122.3811722,1/31/09,8:00:00,obsr196219,S5419728,270,8.047,14,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L650628,P,47.5721322,-122.4139863,2/1/09,12:00:00,obsr169860,S4522019,30,,2,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,2/17/09,8:20:00,obsr141514,S4632578,45,3.219,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L650249,P,47.5626274,-122.4058914,3/14/09,14:00:00,obsr169860,S4754048,15,,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L650249,P,47.5626274,-122.4058914,4/11/09,9:30:00,obsr169860,S4852045,45,0.805,3,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,4/19/09,,obsr100831,S4885653,,,,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L713725,P,47.327654,-122.376709,5/2/09,14:00:00,obsr184835,S4936199,20,,2,0,
Harlequin Duck,Histrionicus histrionicus,,X,United States,US,Washington,US-WA,King,US-WA-033,L1284996,H,47.5402193,-122.3970294,5/8/09,7:50:00,obsr30851,S20358782,10,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,X,United States,US,Washington,US-WA,King,US-WA-033,L2439784,P,47.5726317,-122.4141097,5/8/09,7:15:00,obsr30851,S20358614,15,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,9/29/09,,obsr100831,S5380345,,,,1,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L471669,P,47.777653,-122.3932448,10/18/09,7:20:00,obsr18326,S5452623,85,,1,1,
Harlequin Duck,Histrionicus histrionicus,,X,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,10/10/09,12:15:00,obsr30851,S20359007,120,3.219,1,1,
