COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/30/09,10:00:00,obsr169860,60,1.207,,4,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/30/09,9:00:00,obsr188524,90,1.609,,4,0
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L2148762,P,47.6630065,-122.1146411,5/23/09,11:00:00,obsr287392,,,,1,0
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/09,5:30:00,obsr22459,300,,161.8743,20,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,5:30:00,obsr22459,300,,161.8743,21,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,5/10/09,7:15:00,obsr107483,135,3.219,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,5:50:00,obsr171915,310,,129.4994,10,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/09,4:30:00,obsr124466,330,4.828,,19,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/09,,obsr58269,,,,1,0
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/09,5:30:00,obsr146271,270,,24.2811,14,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/23/09,8:00:00,obsr97255,,,,2,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/09,5:30:00,obsr124466,270,4.023,,18,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,6/6/09,9:15:00,obsr107483,75,3.219,,1,1
Lazuli Bunting,Passerina amoena,6,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/13/09,7:30:00,obsr240895,120,3.219,,2,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/09,4:00:00,obsr124466,360,4.023,,11,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L725211,P,47.5240404,-121.8066645,6/11/09,10:40:00,obsr146271,60,,8.0937,2,1
Lazuli Bunting,Passerina amoena,4,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/11/09,7:00:00,obsr50351,60,0.805,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/09,5:30:00,obsr146271,270,,24.2811,12,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/11/09,7:00:00,obsr107483,180,3.219,,2,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/16/09,10:00:00,obsr61419,20,0.402,,,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/16/09,7:00:00,obsr18326,75,0.805,,,1
Lazuli Bunting,Passerina amoena,5,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/13/09,9:00:00,obsr124466,120,,8.0937,,1
