COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333413,P,47.573486,-122.398811,11/25/11,12:00:00,obsr289606,S9296142,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333411,P,47.492252,-122.192986,11/23/11,12:00:00,obsr289606,S9296140,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333557,P,47.698208,-122.319313,11/28/11,12:00:00,obsr289606,S9296284,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L835042,H,47.6684798,-122.3506165,12/21/11,14:00:00,obsr202620,S11049284,120,1.609,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/2/11,7:00:00,obsr289215,S9245779,60,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1408969,P,47.6692079,-122.3505336,12/21/11,10:00:00,obsr298129,S9790507,30,0.402,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,11/18/12,10:00:00,obsr202620,S12069873,300,9.656,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1820669,P,47.663615,-122.354835,11/27/12,16:30:00,obsr95541,S12174208,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L856218,P,47.6450799,-122.3182583,11/11/12,10:00:00,obsr208083,S12015863,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805698,P,47.6195619,-122.3183003,11/12/12,19:50:00,obsr228117,S12040613,,,3,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805746,P,47.6197138,-122.3109457,11/14/12,10:00:00,obsr218595,S12041010,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1806382,P,47.6228521,-122.3106145,11/14/12,16:00:00,obsr107483,S12045329,30,0.805,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805089,P,47.6196265,-122.3183392,11/13/12,10:25:00,obsr202620,S12034255,,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1806179,P,47.7279254,-122.2897764,11/14/12,14:45:00,obsr322692,S12043910,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/8/12,10:45:00,obsr97255,S12250336,25,0.402,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/8/12,11:00:00,obsr330265,S12248448,,,100,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1836984,P,47.6842748,-122.4003617,12/14/12,16:00:00,obsr291158,S12296850,600,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,12/13/12,12:01:00,obsr330265,S12286697,270,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1834947,P,47.6808225,-122.399936,12/12/12,14:30:00,obsr347608,S12282572,75,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1837302,P,47.6816761,-122.4001782,12/15/12,15:30:00,obsr107483,S12297580,10,0.161,3,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1875975,P,47.6833145,-122.4004188,12/31/12,14:00:00,obsr200488,S12544891,,,10,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,12/16/12,11:00:00,obsr330265,S12307961,60,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1836593,P,47.6816388,-122.3990885,12/15/12,8:40:00,obsr292809,S12294419,10,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1839222,P,47.6829534,-122.3997322,12/16/12,12:00:00,obsr181470,S12305942,20,,4,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1835107,P,47.6801055,-122.4004953,12/13/12,8:55:00,obsr169860,S12283587,15,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,12/27/12,15:00:00,obsr330265,S12938303,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L285366,H,47.6928546,-122.4054806,12/18/12,9:00:00,obsr357237,S12862547,240,3.219,1,1
